id,date,state,city,address,n_killed,n_injured,incident_url
2203231,"January 2, 2022",Florida,Orange Park,Bonnilyn Dr and Clermont Ave S,1,0,https://www.gunviolencearchive.org/incident/2203231
2202924,"January 2, 2022",Connecticut,New Haven,67 Edgewood Ave,0,2,https://www.gunviolencearchive.org/incident/2202924
2224806,"January 2, 2022",Pennsylvania,Philadelphia,4500 block of Lancaster Ave,0,1,https://www.gunviolencearchive.org/incident/2224806
2202908,"January 2, 2022",North Carolina,Laurinburg,300 block of East Vance St,0,3,https://www.gunviolencearchive.org/incident/2202908
2202895,"January 2, 2022",Florida,Homestead,NW Fourth St and Eighth Ave,0,3,https://www.gunviolencearchive.org/incident/2202895
2206873,"January 2, 2022",Oregon,Portland,NW 2nd Ave and Couch St,0,1,https://www.gunviolencearchive.org/incident/2206873
2203355,"January 2, 2022",New York,Brooklyn,488 Dekalb Ave,1,0,https://www.gunviolencearchive.org/incident/2203355
2203614,"January 2, 2022",California,San Leandro,1915 Fairway Dr,0,2,https://www.gunviolencearchive.org/incident/2203614
2203605,"January 2, 2022",Mississippi,Hazlehurst,Larkin St,1,0,https://www.gunviolencearchive.org/incident/2203605
2202904,"January 2, 2022",Ohio,Reynoldsburg,2679 Independence Village Center Dr,0,1,https://www.gunviolencearchive.org/incident/2202904
2202701,"January 2, 2022",North Carolina,Durham,4919 S Miami Blvd,2,0,https://www.gunviolencearchive.org/incident/2202701
2232627,"January 2, 2022",New York,Bronx,Summit Ave and W 164th St,0,1,https://www.gunviolencearchive.org/incident/2232627
2202886,"January 2, 2022",Pennsylvania,Philadelphia,Broad St and Erie Ave,0,1,https://www.gunviolencearchive.org/incident/2202886
2203391,"January 2, 2022",Missouri,Saint Louis,3710 N Grand Blvd,0,2,https://www.gunviolencearchive.org/incident/2203391
2202868,"January 2, 2022",Pennsylvania,Philadelphia,12th St and Glenwood St,0,1,https://www.gunviolencearchive.org/incident/2202868
2202879,"January 2, 2022",Maryland,Baltimore,4000 block of Boarman Ave,0,1,https://www.gunviolencearchive.org/incident/2202879
2203036,"January 2, 2022",Oregon,Portland,NE Morgan St and N Vancouver Ave,1,1,https://www.gunviolencearchive.org/incident/2203036
2202864,"January 2, 2022",Ohio,Cleveland,15600 Terrace Rd,0,1,https://www.gunviolencearchive.org/incident/2202864
2203510,"January 2, 2022",Georgia,Atlanta,Langford Pkwy and Sylvan Rd,0,1,https://www.gunviolencearchive.org/incident/2203510
2202853,"January 2, 2022",Virginia,Yorktown,100 block of Rocky Rd,1,0,https://www.gunviolencearchive.org/incident/2202853
2203148,"January 2, 2022",California,Fresno,Maple Ave and American Ave,0,1,https://www.gunviolencearchive.org/incident/2203148
2202901,"January 2, 2022",Georgia,Forsyth,180 N Lee St,1,0,https://www.gunviolencearchive.org/incident/2202901
2202821,"January 2, 2022",Illinois,Chicago,50 block of W 111th St,0,1,https://www.gunviolencearchive.org/incident/2202821
